index,Title,Genre,Runtime,Rating
173.0,2048: Nowhere to Run,"Action,Sci-Fi",5,6.9
174.0,A Taxi Driver,"Action,Drama,History",137,7.9
175.0,Midnight Runners,"Action,Comedy,Crime",109,7.1
176.0,2036: Nexus Dawn,Sci-Fi,6,7.0
177.0,Lucknow Central,"Action,Crime,Drama,Music,Thriller",133,6.1
178.0,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,Documentary,95,8.0
179.0,The Happiest Day in the Life of Olli Mäki,"Biography,Drama,Romance,Sport",92,7.2
180.0,Chris Rock: Tamborine,Comedy,64,6.5
181.0,The Red Turtle,"Animation,Fantasy",80,7.5
182.0,Tragedy Girls,"Comedy,Horror",98,6.0
183.0,Columbus,Drama,105,7.3
184.0,Call Me by Your Name,"Drama,Romance",132,8.0
185.0,Mountain,Documentary,105,7.3
186.0,Your Name,"Animation,Drama,Fantasy,Romance",106,8.4
187.0,Dawson City: Frozen Time,"Documentary,History",120,7.6
188.0,Good Time,"Crime,Drama,Thriller",101,7.3
189.0,Menashe,Drama,82,6.5
190.0,Newness,"Drama,Romance",112,6.4
191.0,Kedi,Documentary,79,7.7
192.0,"Three Billboards Outside Ebbing, Missouri","Crime,Drama",115,8.2
193.0,Jagga Jasoos,"Action,Adventure,Comedy,Musical,Mystery",161,6.5
194.0,Mudbound,"Drama,War",134,7.5
195.0,Final Portrait,"Biography,Comedy,Drama",90,6.3
196.0,My Life as a Zucchini,"Animation,Comedy,Drama",66,7.8
197.0,The Salesman,"Drama,Thriller",124,7.8
198.0,I Am Not Your Negro,Documentary,93,7.8
199.0,Lady Bird,"Comedy,Drama",94,7.5
200.0,Polina,Drama,108,6.7
201.0,Blood of My Blood,"Drama,History",106,6.2
202.0,I Am Not a Witch,Drama,93,6.7
203.0,Sophie and the Rising Sun,Drama,105,6.5
204.0,Justice League,"Action,Adventure,Fantasy,Sci-Fi",120,6.7
205.0,Contemporary Color,"Documentary,Music",97,6.4
206.0,The Ballad of Lefty Brown,Western,111,6.2
207.0,In the Family,"Drama,Romance",169,7.1
208.0,Blade of the Immortal,"Action,Drama",140,6.8
209.0,Batman: Gotham by Gaslight,"Action,Adventure,Animation,Crime,Fantasy",78,6.8
210.0,Darkest Hour,"Biography,Drama,History,War",125,7.4
211.0,The Pirates of Somalia,"Biography,Drama",116,6.8
212.0,In Search of Balance,Documentary,74,6.6
213.0,Minimalism: A Documentary About the Important Things,Documentary,79,6.7
214.0,Tom of Finland,"Biography,Drama",115,6.9
215.0,Thelma,"Drama,Fantasy,Mystery,Romance,Thriller",116,7.1
216.0,My Friend Dahmer,"Biography,Drama,Horror",107,6.4
217.0,When We First Met,"Comedy,Fantasy,Romance",97,6.4
218.0,Bomb City,"Action,Crime,Drama,Thriller,Western",95,7.1
219.0,The Ritual,Horror,94,6.3
220.0,Accident Man,"Action,Crime,Thriller",105,6.1
221.0,Coco,"Adventure,Animation,Comedy,Family,Fantasy",105,8.5
222.0,Murder on the Orient Express,"Crime,Drama,Mystery",114,6.6
223.0,Doctor Who: Shada,Sci-Fi,138,6.0
224.0,The Everlasting Flame,"Documentary,Sport",101,6.2
225.0,Daddy's Home 2,Comedy,100,6.0
226.0,The Florida Project,Drama,111,7.6
227.0,Only the Brave,"Biography,Drama",134,7.7
228.0,God's Own Country,"Drama,Romance",104,7.7
229.0,Wonder,"Drama,Family",113,8.0
230.0,Crooked House,"Crime,Drama,Mystery",115,6.3
231.0,"Roman J. Israel, Esq.","Crime,Drama",122,6.4
232.0,Wheelman,"Action,Crime,Mystery,Thriller",82,6.4
233.0,Voyeur,Documentary,96,6.2
234.0,The Great Invisible,Documentary,92,6.6
235.0,Naledi: A Baby Elephant's Tale,Documentary,90,7.5
236.0,The Meyerowitz Stories,"Comedy,Drama",112,7.0
237.0,Our Souls at Night,"Drama,Romance",103,6.9
238.0,Cuba and the Cameraman,Documentary,113,8.2
239.0,Catching the Sun,"Documentary,Drama,History,News",75,7.0
240.0,A Plastic Ocean,Documentary,102,7.9
241.0,1922,"Crime,Drama,Mystery,Thriller",102,6.3
242.0,Bright,"Action,Crime,Fantasy,Thriller",117,6.4
243.0,Thor: Ragnarok,"Action,Adventure,Comedy,Fantasy,Sci-Fi",130,7.9
244.0,Phineas and Ferb the Movie: Across the 2nd Dimension,"Action,Adventure,Animation,Comedy,Family",105,7.5
245.0,Sweet Virginia,"Drama,Thriller",93,6.1
246.0,LBJ,"Biography,Drama",98,6.3
247.0,Almost Friends,"Comedy,Drama",101,6.1
248.0,Borg vs McEnroe,"Biography,Drama,Sport",107,7.0
249.0,Boone: The Bounty Hunter,"Action,Drama",86,6.8
250.0,Last Flag Flying,"Comedy,Drama,War",125,6.9
251.0,The Killing of a Sacred Deer,"Drama,Horror,Mystery,Thriller",121,7.1
252.0,"The Games of the V Olympiad Stockholm, 1912","Documentary,Sport",170,6.3
253.0,Chasing Great,"Biography,Documentary,Drama,Sport",105,7.2
254.0,Thank You for Your Service,"Biography,Drama,War",109,6.5
255.0,Professor Marston and the Wonder Women,"Biography,Drama",108,7.1
256.0,Goodbye Christopher Robin,"Biography,Drama,Family,History",107,7.1
257.0,Kenny,"Documentary,Sport",86,7.3
258.0,Loving Vincent,"Animation,Biography,Crime,Drama,Mystery",94,7.9
259.0,Happy Death Day,"Horror,Mystery,Thriller",96,6.5
260.0,Blade Runner 2049,"Drama,Mystery,Sci-Fi,Thriller",164,8.1
261.0,My Little Pony: The Movie,"Adventure,Animation,Comedy,Family,Fantasy",99,6.2
262.0,The Foreigner,"Action,Crime,Drama,Mystery,Thriller",113,7.0
263.0,Marshall,"Biography,Drama",118,7.2
264.0,Rebel in the Rye,"Biography,Drama,Romance,War",106,6.6
265.0,Brawl in Cell Block 99,"Crime,Drama",132,7.2
266.0,Chasing Trane: The John Coltrane Documentary,"Biography,Documentary,Music",99,7.3
267.0,Mark Felt: The Man Who Brought Down the White House,"Biography,Drama,History,Thriller",103,6.4
268.0,Battle of the Sexes,"Biography,Comedy,Drama,Sport",121,6.8
269.0,Mayhem,"Action,Horror",86,6.3
270.0,Brad's Status,"Comedy,Drama,Music",102,6.5
271.0,Breathe,"Biography,Drama,Romance",118,7.1
272.0,City of Ghosts,"Documentary,War",92,7.5
273.0,It,"Drama,Horror,Thriller",135,7.5
274.0,The Mountain Between Us,"Action,Adventure,Drama,Romance,Thriller",112,6.4
275.0,California Typewriter,Documentary,103,7.2
276.0,The Lego Ninjago Movie,"Action,Adventure,Animation,Comedy,Family",101,6.0
277.0,Stronger,"Biography,Drama",119,7.0
278.0,Victoria & Abdul,"Biography,Drama,History",111,6.8
279.0,Mother!,"Drama,Horror,Mystery",121,6.7
280.0,Enter Nowhere,"Mystery,Sci-Fi,Thriller",90,6.6
281.0,Dunkirk,"Action,Drama,History,Thriller,War",106,8.0
282.0,American Made,"Action,Biography,Comedy,Crime,Drama",105,7.2
283.0,Ferrari: Race to Immortality,Documentary,91,6.7
284.0,The Party,"Comedy,Drama",71,6.7
285.0,Detroit,"Crime,Drama,History,Thriller",143,7.4
286.0,Kingsman: The Golden Circle,"Action,Adventure,Comedy",141,6.8
287.0,Better Watch Out,"Comedy,Horror,Thriller",89,6.5
288.0,Love Finds You in Charm,Drama,92,6.5
289.0,1 Buck,"Drama,Thriller",90,6.0
290.0,Gook,Drama,94,7.1
291.0,Wish for Christmas,"Drama,Family",89,6.1
292.0,Love Finds You in Valentine,"Drama,Romance",87,6.4
293.0,Animal Factory,"Crime,Drama",94,6.6
294.0,All the King's Men,"Drama,Thriller",128,6.2
295.0,A Princess for Christmas,"Comedy,Drama,Family,Romance",91,6.5
296.0,Batman vs. Two-Face,"Action,Animation,Comedy",72,6.1
297.0,The Good Neighbor,"Crime,Drama,Thriller",98,6.3
298.0,The Snow Queen 3,"Adventure,Animation,Comedy,Family,Sci-Fi",80,6.7
299.0,American Assassin,"Action,Thriller",112,6.2
300.0,Kinky Boots,"Comedy,Drama,Music",107,7.1
301.0,Super Dark Times,"Drama,Thriller",100,6.6
302.0,Score: A Film Music Documentary,"Documentary,Music",93,7.4
303.0,Tulip Fever,"Drama,Romance",105,6.2
304.0,Rememory,"Drama,Mystery,Sci-Fi",111,6.2
305.0,Logan Lucky,"Comedy,Crime,Drama",118,7.1
306.0,The Hitman's Bodyguard,"Action,Comedy,Thriller",118,6.9
307.0,Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy,Sci-Fi",105,6.5
308.0,Beach Rats,Drama,98,6.5
309.0,Patti Cake$,"Drama,Music",109,6.6
310.0,Lipstick Under My Burkha,Drama,117,6.9
311.0,The Limehouse Golem,"Horror,Mystery,Thriller",109,6.3
312.0,The Healer,"Comedy,Drama,Family,Romance",113,6.2
313.0,Brigsby Bear,"Comedy,Drama",97,7.4
314.0,Wind River,"Crime,Drama,Mystery,Thriller",107,7.8
315.0,Atomic Blonde,"Action,Mystery,Thriller",115,6.7
316.0,Ali and Nino,"Drama,Romance,War",100,7.1
317.0,The Glass Castle,"Biography,Drama",127,7.1
318.0,Jungle,"Action,Adventure,Biography,Drama,Thriller",115,6.7
319.0,Ingrid Goes West,"Comedy,Drama",98,6.7
320.0,Cars 3,"Adventure,Animation,Comedy,Family,Sport",102,6.8
321.0,The Poughkeepsie Tapes,"Horror,Mystery,Thriller",81,6.1
322.0,Northpole: Open for Christmas,Fantasy,83,6.4
323.0,Manifesto,Drama,95,6.7
324.0,Maudie,"Biography,Drama,Romance",115,7.7
325.0,Viceroy's House,"Biography,Drama,History,News,Romance",106,6.6
326.0,A Family Man,Drama,108,6.5
327.0,Harmony,"Animation,Sci-Fi,Thriller",119,6.2
328.0,War for the Planet of the Apes,"Action,Adventure,Drama,Sci-Fi,Thriller",140,7.5
329.0,Annabelle: Creation,"Horror,Mystery,Thriller",109,6.6
330.0,Bon Cop Bad Cop 2,"Action,Comedy,Crime",126,6.7
331.0,The Man with the Iron Heart,"Action,Biography,Thriller,War",120,6.4
332.0,68 Kill,"Comedy,Crime,Romance,Thriller",93,6.0
