index,Title,Genre,Runtime,Rating
397,The Phantom of the Opera at the Royal Albert Hall,"Drama,Music,Musical,Romance,Thriller",137,8.8
398,Wazir,"Action,Crime,Drama,Mystery,Thriller",103,7.2
399,The Promise,"Action,Drama,History",133,6.0
400,Free Fire,"Action,Comedy,Crime,Thriller",91,6.4
401,Buster's Mal Heart,"Drama,Mystery,Thriller",96,6.0
402,My Name Is Lenny,"Biography,Drama,Sport",91,6.9
403,Resident Evil: Vendetta,"Action,Adventure,Animation,Horror,Mystery",97,6.3
404,The Lost City of Z,"Action,Adventure,Biography,Drama,History",141,6.6
405,The Fate of the Furious,"Action,Adventure,Crime,Thriller",136,6.7
406,Their Finest,"Comedy,Drama,Romance,War",117,6.8
407,Black Butterfly,Thriller,93,6.1
408,Ghost in the Shell Arise: Border 4 - Ghost Stands Alone,"Action,Animation,Sci-Fi",59,7.3
409,Ghost in the Shell Arise: Border 3 - Ghost Tears,"Action,Animation,Sci-Fi",55,7.3
410,Extortion,"Action,Adventure,Crime,Drama,Thriller",108,6.2
411,Kong: Skull Island,"Action,Adventure,Fantasy,Sci-Fi",118,6.7
412,Rabbit Hole,"Action,Drama",91,7.0
413,Apprentice,Drama,115,6.5
414,Youth in Revolt,"Comedy,Drama,Romance",90,6.5
415,Gods and Generals,"Biography,Drama,History,War",219,6.3
416,The Zookeeper's Wife,"Biography,Drama,History,War",127,7.0
417,Red Dog: True Blue,"Comedy,Drama,Family,Romance",88,6.4
418,Alone in Berlin,"Action,Drama",103,6.4
419,Power Rangers,"Action,Adventure,Sci-Fi",105,6.0
420,The Eagle Huntress,"Adventure,Documentary,Sport",87,7.5
421,CHIPS,"Action,Comedy,Crime",100,6.0
422,Jawbone,"Action,Drama,Sport",91,6.5
423,The Belko Experiment,"Action,Horror,Thriller",89,6.1
424,Life,"Horror,Sci-Fi,Thriller",104,6.6
425,The Carer,"Comedy,Drama",89,6.5
426,Prevenge,"Comedy,Drama,Fantasy,Horror,Thriller",88,6.0
427,I Tawt I Taw a Puddy Tat,"Action,Animation,Comedy,Family,Musical",105,6.4
428,I Am Heath Ledger,"Biography,Documentary",90,7.4
429,The LEGO Batman Movie,"Action,Adventure,Animation,Comedy,Family",104,7.3
430,John Wick: Chapter 2,"Action,Crime,Thriller",122,7.5
431,Queen Rock Montreal & Live Aid,"Action,Music",138,8.6
432,Peaceful Warrior,"Drama,Romance,Sport",105,7.3
433,The Last Word,"Comedy,Drama",108,6.6
434,Swallows and Amazons,"Adventure,Drama,Family,War",96,6.2
435,A Cure for Wellness,"Action,Drama,Fantasy,Horror,Mystery",146,6.4
436,McLaren,"Action,Biography,Documentary,Drama,Sport",92,7.3
437,T2 Trainspotting,"Action,Drama",117,7.3
438,The Devil's Candy,"Action,Drama,Horror,Thriller",79,6.4
439,Logan,"Action,Drama,Sci-Fi,Thriller",137,8.1
440,M.S. Dhoni: The Untold Story,"Biography,Drama,Sport",184,7.8
441,Beauty and the Beast,"Action,Family,Fantasy,Musical,Romance",129,7.2
442,Mean Dreams,"Action,Thriller",108,6.3
443,The Shack,"Action,Drama,Fantasy",132,6.3
444,Before I Fall,"Action,Drama,Mystery",98,6.4
445,Thirteen,"Action,Drama",100,6.8
446,Moto 8: The Movie,"Action,Sport",61,6.0
447,Get Out,"Action,Horror,Mystery,Thriller",104,7.7
448,The Great Wall,"Action,Adventure,Fantasy,Thriller",103,6.0
449,The Young and Prodigious T.S. Spivet,"Action,Adventure,Comedy,Drama,Family",105,7.1
450,The Dish,"Comedy,Drama,History",101,7.2
